ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Clock_CT0/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT4/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT8/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT12/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT16/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT20/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_KO/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_Input/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
3964	chr10	120925871	120926041	120925975	8	Intergenic	Intergenic	-12650	uc007hfs.1	Rassf3	ras association domain-containing protein 3	1.58	3.16	3.16	6.33	0.79	2.37	0.79	0	3964-Clock_n3R15	1	burg	1	23.4823529412	1.5925418191	9.9399470554	2.8983333333	0.4242421671	0.296295982	0.6038032257	0.0833833516	0.018517054	0.1451615539
3965	chr11	68928191	68928410	68928300	8	Intergenic	Intergenic	-5655	uc007jpi.1	Hes7	transcription factor HES-7	6.33	0	3.95	4.74	2.37	0	0	4.74	3965-Clock_n3R15	0	default	1	24	0.7096960555	11.0846842139	2.8983333333	0.0481493519	-0.1633730144	0.8134844316	0.8008656097	0.1060485263	0.8313508657
3966	chr11	102083441	102083690	102083600	8	intron (uc007lqv.1, intron 2 of 26)	intron (NM_001077696, intron 2 of 26)	7921	uc007lqv.1	Hdac5	histone deacetylase 5 isoform 1	7.12	2.37	2.37	2.37	0.79	2.37	0	1.58	3966-Clock_n3R15	0	burg	1	26.7919463087	1.7796306001	24.7321067178	2.8983333333	0.441773874	0.3177236238	0.6811397384	0.0725513859	0.0167618944	0.1314022547
3967	chr11	102994211	102994470	102994360	8	promoter-TSS (uc007ltp.2)	promoter-TSS (NM_001130516)	-313	uc007ltp.2	Hexim2	protein HEXIM2	3.16	2.37	0.79	1.58	1.58	7.91	0.79	0.79	3967-Clock_n3R15	0	yule-walker	1	24.95	2.6094141227	21.3283350908	2.8983333333	0.6153463392	0.5298677479	0.8138696944	0.0135773313	0.0053887974	0.0422446362
3968	chr12	100669771	100670011	100669905	8	intron (uc007ort.1, intron 1 of 5)	MTE2a|LTR|MaLR	18393	uc007ort.1	Foxn3	forkhead box protein N3	7.12	2.37	2.37	0.79	2.37	2.37	0.79	0.79	3968-Clock_n3R15	1	burg	1	25.106918239	2.0264788145	23.5677197546	2.8983333333	0.5590390248	0.461047697	0.6811397384	0.02510734	0.0081626602	0.0639899
3969	chr13	25078121	25078380	25078225	8	intron (uc007pws.1, intron 23 of 25)	intron (NM_008156, intron 23 of 25)	5178	uc007pwt.2	AK020095	Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330541J12 product:unclassifiable, full insert sequence.	7.12	2.37	3.95	1.58	0.79	1.58	0	0.79	3969-Clock_n3R15	1	burg	1	27.5310344828	1.7566649408	26.3729970147	2.8983333333	0.4175418385	0.2881066915	0.7336524991	0.0878397938	0.0191967287	0.1504897577
3970	chr16	91562101	91562330	91562215	8	intron (uc007zxq.1, intron 6 of 6)	intron (NM_008338, intron 6 of 6)	14876	uc007zxq.1	Ifngr2	interferon gamma receptor 2	4.74	0.79	7.12	0.79	1.58	2.37	0	1.58	3970-Clock_n3R15	1	default	1	24	0.9927818791	4.8967548724	2.8983333333	0.0946266595	-0.1065674162	0.7983141724	0.6393293759	0.0877225204	0.6876870038
3971	chr17	46187891	46188121	46187990	8	Intergenic	B4A|SINE|B4	-18680	uc008crn.2	Vegfa	vascular endothelial growth factor A isoform 1	0	2.37	7.12	5.53	1.58	0.79	0	3.16	3971-Clock_n3R15	0	burg	1	23.6213017751	3.4215178432	9.7295592723	2.8983333333	0.9025690223	0.8809176939	0.8865070843	2.81278652494E-005	0.0002819347	0.0022101828
3972	chr18	13019991	13020231	13020130	8	intron (uc008ecu.1, intron 15 of 27)	intron (NM_207530, intron 15 of 27)	80118	uc008ecu.1	Osbpl1a	oxysterol-binding protein-related protein 1	0	1.58	7.12	3.16	3.16	2.37	0	2.37	3972-Clock_n3R15	1	burg	1	23.7619047619	2.2726597856	10.2273227045	2.8983333333	0.5635483518	0.4665590967	0.7503405038	0.023972461	0.007893507	0.061879916
3973	chr19	27737911	27738121	27737995	8	Intergenic	Intergenic	233489	uc012bkb.1	C030016D13Rik	Mus musculus adult male corpus striatum cDNA, RIKEN full-length enriched library, clone:C030016D13 product:hypothetical protein, full insert sequence.	1.58	1.58	6.33	3.16	1.58	3.16	0.79	1.58	3973-Clock_n3R15	0	burg	1	22.9425287356	1.4229086567	9.4343901038	2.8983333333	0.3699986904	0.2299983993	0.582935205	0.1250364213	0.0246314262	0.1930942203
3974	chr1	90157251	90157530	90157365	7	3' UTR (uc007bym.2, exon 8 of 8)	3' UTR (NM_001177364, exon 43 of 43)	15370	uc007byo.1	A730008H23Rik	Mus musculus 12 days embryo spinal ganglion cDNA, RIKEN full-length enriched library, clone:D130054G24 product:unclassifiable, full insert sequence.	3.95	0.79	7.12	0.79	3.16	1.58	0.79	4.74	3974-Clock_n3R15	1	default	1	24	0.8527807088	7.5782356379	2.8983333333	0.0747246071	-0.1308921469	0.7666653466	0.7050494148	0.0954117433	0.7479654661
3975	chr1	93308841	93309110	93308955	7	exon (uc007cau.1, exon 4 of 4)	exon (NM_019479, exon 4 of 4)	824	uc007cau.1	Hes6	transcription cofactor HES-6	3.16	2.37	6.33	3.16	0.79	1.58	0	1.58	3975-Clock_n3R15	0	burg	1	23.3450292398	1.7666976496	7.7718445907	2.8983333333	0.5378918516	0.435201152	0.6038032257	0.0309989026	0.0093387711	0.0732098382
3976	chr1	157642011	157642330	157642100	7	intron (uc007dbp.1, intron 3 of 11)	intron (NM_023268, intron 3 of 12)	17859	uc007dbp.1	Qsox1	sulfhydryl oxidase 1 isoform a	0	1.58	1.58	3.95	1.58	8.7	0	1.58	3976-Clock_n3R15	0	default	1	24	1.5118624302	18.4832664798	2.8983333333	0.1671552689	-0.017921338	0.9797325881	0.4390744758	0.0646559056	0.5068598779
3977	chr1	162723141	162723420	162723310	7	promoter-TSS (uc007dej.2)	promoter-TSS (NM_013862)	-211	uc007dej.2	Rabgap1l	rab GTPase-activating protein 1-like isoform a	3.16	3.16	6.33	3.16	0.79	0.79	0	0.79	3977-Clock_n3R15	1	burg	1	23.6213017751	2.1303973928	7.4527918819	2.8983333333	0.7119922287	0.6479905018	0.643512315	0.0036924866	0.0024640341	0.0193164107
3978	chr1	180299211	180299431	180299315	7	Intergenic	Intergenic	-31406	uc011wxl.1	Hnrnpu	heterogeneous nuclear ribonucleoprotein U	0.79	6.33	4.74	0.79	2.37	2.37	0	1.58	3978-Clock_n3R15	0	burg	1	22.3016759777	1.937657775	6.3642715317	2.8983333333	0.432795325	0.3067498417	0.6988581729	0.0779523312	0.0176557409	0.1384094246
3979	chr1	193268421	193268581	193268525	7	Intergenic	Intergenic	-47581	uc007eci.1	Ppp2r5a	serine/threonine-protein phosphatase 2A 56 kDa	1.58	2.37	6.33	1.58	3.16	2.37	0	2.37	3979-Clock_n3R15	0	burg	1	22.6818181818	1.2156982358	9.0702129652	2.8983333333	0.2889638182	0.1309557778	0.561291877	0.2155324441	0.0367128786	0.2878048805
3980	chr2	154602261	154602500	154602365	7	Intergenic	Intergenic	-14466	uc008njv.2	Raly	RNA-binding protein Raly long isoform	3.16	1.58	3.95	0.79	1.58	6.33	0.79	1.58	3980-Clock_n3R15	1	yule-walker	1	24.7950310559	1.4167062368	22.2500522916	2.8983333333	0.2844607712	0.1254520537	0.643512315	0.2217433061	0.0375633556	0.2944720617
3981	chr3	122598261	122598510	122598395	7	promoter-TSS (uc008rex.1)	promoter-TSS (NM_007980)	75	uc008rex.1	Fabp2	fatty acid-binding protein, intestinal	6.33	1.58	3.95	3.16	0.79	1.58	0	0.79	3981-Clock_n3R15	0	default	1	24	0.8425700768	2.9394802147	2.8983333333	0.1161278608	-0.0802881701	0.643512315	0.5737893731	0.0802377103	0.6290110035
3982	chr4	57083441	57083721	57083650	7	intron (uc008sxz.2, intron 13 of 15)	intron (NM_019427, intron 13 of 15)	72447	uc008sxz.2	Epb4.1l4b	band 4.1-like protein 4B	6.33	1.58	3.16	3.95	0.79	1.58	0	1.58	3982-Clock_n3R15	0	default	1	24	0.6141427079	2.527440486	2.8983333333	0.0607410187	-0.1479831994	0.643512315	0.7542826262	0.1008967788	0.7909645453
3983	chr5	64327781	64328011	64327885	7	intron (uc008xmh.1, intron 2 of 6)	intron (NM_145923, intron 2 of 6)	32240	uc008xmh.1	Rell1	RELT-like protein 1 precursor	4.74	7.12	3.16	1.58	0	0.79	0	1.58	3983-Clock_n3R15	0	mle	1	24.490797546	2.6714041966	3.3052114174	2.8983333333	0.7432554099	0.6862010565	0.8435639657	0.0022016884	0.001915741	0.0150181522
3984	chr5	122136551	122136800	122136665	7	3' UTR (uc008zkc.1, exon 12 of 12)	3' UTR (NM_028227, exon 12 of 12)	-24943	uc008zke.1	Atxn2	ataxin-2	3.16	1.58	1.58	6.33	1.58	3.16	0	0.79	3984-Clock_n3R15	0	burg	1	22.4269662921	0.9593053689	14.4980249085	2.8983333333	0.155933191	-0.031637211	0.582935205	0.4663325211	0.0674933606	0.5291036632
3985	chr6	38288031	38288310	38288120	7	intron (uc009bjz.2, intron 2 of 11)	intron (NM_028864, intron 2 of 8)	16433	uc009bjz.2	Zc3hav1	zinc finger CCCH-type antiviral protein 1	7.12	3.95	2.37	1.58	1.58	0.79	2.37	5.53	3985-Clock_n3R15	1	burg	1	27.3424657534	1.950818922	26.1843432728	2.8983333333	0.5402880169	0.4381297984	0.7336524991	0.0302821154	0.0091930785	0.0720677038
3986	chr6	54710501	54710820	54710705	7	Intergenic	L1MB4|LINE|L1	-56250	uc009cae.2	Znrf2	E3 ubiquitin-protein ligase ZNRF2	3.95	7.12	1.58	1.58	0.79	2.37	0.79	0.79	3986-Clock_n3R15	0	burg	1	23.9041916168	2.2025150676	2.4472939466	2.8983333333	0.5897014143	0.4985239508	0.7336524991	0.0181530703	0.0065779966	0.0515671777
3987	chr6	124463081	124463321	124463195	7	intron (uc009dra.2, intron 1 of 10)	intron (NM_023143, intron 1 of 10)	562	uc009dra.2	C1ra	complement C1r-A subcomponent precursor	1.58	6.33	4.74	3.16	0.79	0.79	0	0	3987-Clock_n3R15	1	mle	1	23.7619047619	2.5165891768	6.7508790007	2.8983333333	0.7847195475	0.736879447	0.7163571929	0.0009965996	0.0012632046	0.0099026956
3988	chr8	74763371	74763630	74763515	7	promoter-TSS (uc009mfp.1)	promoter-TSS (NM_007456)	-531	uc009mfp.1	Ap1m1	AP-1 complex subunit mu-1	6.33	2.37	2.37	1.58	1.58	3.16	0	2.37	3988-Clock_n3R15	0	yule-walker	1	25.5897435897	1.8025900874	23.6448725986	2.8983333333	0.6293579621	0.5469930647	0.561291877	0.0114893653	0.0048532394	0.0380462125
3989	chr8	113316671	113316890	113316780	7	intron (uc009nla.2, intron 1 of 6)	intron (NM_029646, intron 1 of 7)	13023	uc009nla.2	Il34	interleukin-34 isoform 1	1.58	3.95	6.33	2.37	0	3.16	0	0	3989-Clock_n3R15	0	burg	1	22.1777777778	2.1659869259	7.2763774587	2.8983333333	0.5835409304	0.4909944705	0.6809095856	0.0194122314	0.0068700947	0.0538570347
3990	chr8	129260381	129260641	129260555	7	Intergenic	Intergenic	-112409	uc009nyz.1	AK041328	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630001O12 product:unclassifiable, full insert sequence.	3.16	0	6.33	1.58	3.16	3.16	0	1.58	3990-Clock_n3R15	0	yule-walker	1	23.4823529412	0.5035361975	11.6771384344	2.8983333333	0.0351292467	-0.1792864762	0.6624748913	0.8513558824	0.1114367984	0.8735913836
3991	chr9	106137991	106138290	106138175	7	intron (uc012gzt.1, intron 9 of 10)	intron (NM_020559, intron 9 of 10)	12145	uc012gzt.1	Alas1	5-aminolevulinate synthase, nonspecific,	0.79	3.16	2.37	6.33	2.37	2.37	0	1.58	3991-Clock_n3R15	0	mle	1	24.0481927711	1.6854481461	11.192330494	2.8983333333	0.5059068368	0.3961083561	0.582935205	0.0418928398	0.0114431505	0.0897067922
3992	chr9	110246261	110246481	110246425	7	intron (uc009rtx.2, intron 1 of 22)	RSINE1|SINE|B4	10574	uc009rtx.2	Scap	sterol regulatory element-binding protein	0.79	2.37	6.33	3.16	3.16	1.58	1.58	2.37	3992-Clock_n3R15	0	mle	1	24.0481927711	2.0651171294	9.6512417411	2.8983333333	0.6959036319	0.6283266612	0.6038032257	0.0047157476	0.0028312945	0.0221954914
3993	chr10	75398341	75398740	75398445	7	5' UTR (uc007ftr.1, exon 1 of 4)	5' UTR (NM_175329, exon 1 of 4)	380	uc007ftr.1	Chchd10	coiled-coil-helix-coiled-coil-helix	3.16	2.37	6.33	3.16	1.58	0.79	3.16	0.79	3993-Clock_n3R15	1	burg	1	23.7619047619	1.8534359306	8.0939250383	2.8983333333	0.5984120055	0.509170229	0.6038032257	0.0164821266	0.0061651704	0.048330891
3994	chr10	93003201	93003470	93003300	7	promoter-TSS (uc007guu.1)	promoter-TSS (NM_027908)	-42	uc007guu.1	Ccdc38	coiled-coil domain-containing protein 38	7.12	3.16	3.16	1.58	1.58	0.79	0	3.16	3994-Clock_n3R15	0	default	1	24	1.6012106958	1.6763165303	2.8983333333	0.3690888288	0.2288863463	0.7165759607	0.125851089	0.0247671602	0.1941582857
3995	chr11	59021601	59021900	59021700	7	promoter-TSS (uc007jdl.1)	promoter-TSS (NM_024210)	-113	uc007jdl.1	2310033P09Rik	multiple myeloma tumor-associated protein 2	0.79	3.16	2.37	6.33	1.58	3.16	1.58	2.37	3995-Clock_n3R15	0	mle	1	24.1939393939	1.4261179223	10.9334632711	2.8983333333	0.3370808749	0.1897655138	0.6038032257	0.1572434154	0.0290441612	0.2276871674
3996	chr11	60166021	60166400	60166125	7	promoter-TSS (uc007jfu.1)	promoter-TSS (NM_029044)	197	uc007jfq.1	Tom1l2	TOM1-like protein 2 isoform a	3.16	2.37	7.12	1.58	0.79	2.37	1.58	0	3996-Clock_n3R15	1	yule-walker	1	21.3475935829	1.7576034625	7.8611471983	2.8983333333	0.3692050351	0.2290283762	0.6990824167	0.1257468114	0.0247548765	0.1940619899
3997	chr11	94134901	94135180	94135030	7	Intergenic	Intergenic	-31147	uc007kyg.2	Wfikkn2	WAP, kazal, immunoglobulin, kunitz and NTR	7.91	0	2.37	3.95	2.37	0.79	0	3.16	3997-Clock_n3R15	1	mle	1	27.7222222222	0.8354129464	24.0108271472	2.8983333333	0.0509697689	-0.159925838	0.8866838726	0.7902421883	0.1049237274	0.8225331803
3998	chr11	109356291	109356640	109356405	7	intron (uc007mcn.1, intron 4 of 13)	intron (NM_028710, intron 4 of 13)	-21555	uc007mcm.1	Slc16a6	monocarboxylate transporter 7 isoform a	2.37	2.37	2.37	0	3.95	6.33	2.37	2.37	3998-Clock_n3R15	0	mle	1	24.1939393939	1.9013398636	20.977467749	2.8983333333	0.5270638497	0.4219669274	0.6624748913	0.0344041873	0.0099393314	0.077917837
3999	chr12	72237551	72237800	72237715	7	promoter-TSS (uc007nuj.1)	promoter-TSS (NM_001024853)	-13	uc007nuj.1	Timm9	mitochondrial import inner membrane translocase	2.37	3.95	3.16	0	1.58	6.33	0.79	0	3999-Clock_n3R15	1	mle	1	21.8142076503	1.8703061953	2.4920179935	2.8983333333	0.4601646715	0.3402012651	0.6809095856	0.0623987461	0.0150924835	0.1183151684
4000	chr12	84156821	84157070	84156930	7	intron (uc007oda.1, intron 6 of 16)	intron (NM_015812, intron 6 of 16)	438920	uc007oda.1	Rgs6	regulator of G-protein signaling 6	6.33	2.37	1.58	1.58	2.37	3.16	0.79	0.79	4000-Clock_n3R15	0	yule-walker	1	24.95	1.9039135929	22.7649187195	2.8983333333	0.6921159469	0.6236972684	0.561291877	0.0049858864	0.0029193403	0.0228857122
4001	chr13	24883331	24883580	24883430	7	Intergenic	Lx8|LINE|L1	-10071	uc007pwi.1	BC005537	hypothetical protein LOC79555	1.58	2.37	3.95	6.33	1.58	1.58	0	2.37	4001-Clock_n3R15	1	burg	1	23.0751445087	2.0239429867	10.7418979491	2.8983333333	0.6966366924	0.629222624	0.6038032257	0.0046648075	0.0028245679	0.0221427594
4002	chr13	59112991	59113230	59113105	7	intron (uc007quj.1, intron 13 of 17)	intron (NM_001025074, intron 13 of 17)	171067	uc007qul.1	AK038606	Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230049N23 product:unclassifiable, full insert sequence.	3.95	2.37	6.33	1.58	0	3.16	0	0.79	4002-Clock_n3R15	0	burg	1	23.4823529412	1.5604227909	4.9837591109	2.8983333333	0.3167187875	0.164878518	0.6809095856	0.1801762974	0.0321229852	0.2518231277
4003	chr13	102554701	102554940	102554825	7	Intergenic	Intergenic	-16648	uc007rrt.1	Pik3r1	phosphatidylinositol 3-kinase regulatory subunit	2.37	2.37	1.58	3.16	1.58	6.33	0	1.58	4003-Clock_n3R15	1	mle	1	26.091503268	1.3025639661	20.2914916302	2.8983333333	0.3235263336	0.1731988522	0.561291877	0.1722380215	0.0310446315	0.2433695421
4004	chr14	46319911	46320290	46320045	7	Intergenic	Intergenic	-42282	uc007tgx.1	Ddhd1	phospholipase DDHD1 isoform 3	7.12	3.16	0.79	1.58	3.16	1.58	0	6.33	4004-Clock_n3R15	0	burg	1	24.95	1.9269455987	23.1006914038	2.8983333333	0.4572033017	0.3365818132	0.7165759607	0.0639539522	0.0153680755	0.1204756287
4005	chr15	13775611	13775870	13775775	7	Intergenic	ORR1E|LTR|MaLR	-672346	uc007vif.1	Cdh6	cadherin-6 precursor	3.16	1.58	1.58	6.33	3.16	1.58	0	3.16	4005-Clock_n3R15	0	burg	1	21.6956521739	1.5563377804	14.5187852862	2.8983333333	0.4082178569	0.276710714	0.582935205	0.0943470561	0.0201715787	0.1581319421
4006	chr15	96880511	96880760	96880655	7	intron (uc007xkr.1, intron 1 of 15)	intron (NM_027052, intron 1 of 15)	5752	uc007xkr.1	Slc38a4	sodium-coupled neutral amino acid transporter 4	3.16	1.58	3.95	6.33	1.58	0.79	0.79	2.37	4006-Clock_n3R15	0	burg	1	23.4823529412	1.8250277724	10.6287555897	2.8983333333	0.4979300267	0.3863589216	0.643512315	0.0450234862	0.0120226466	0.0942496614
4007	chr15	98922061	98922350	98922245	7	Intergenic	Intergenic	-4046	uc007xot.1	C1ql4	complement C1q-like protein 4 precursor	3.16	3.16	1.58	7.12	0.79	1.58	0	3.16	4007-Clock_n3R15	0	burg	1	23.4823529412	1.1381008609	10.4001718419	2.8983333333	0.1557686327	-0.0318383378	0.7165759607	0.4667417812	0.0675201375	0.5293135769
4008	chr16	8659431	8659810	8659585	7	3' UTR (uc007yct.1, exon 4 of 4)	3' UTR (NM_025821, exon 4 of 4)	12626	uc007yct.1	Carhsp1	calcium-regulated heat stable protein 1	0.79	3.95	7.91	2.37	1.58	0.79	0	2.37	4008-Clock_n3R15	0	burg	1	22.5536723164	2.9383751541	8.5156754909	2.8983333333	0.7205269854	0.658421871	0.8582997878	0.0032249981	0.0023005869	0.0180350917
4009	chr16	13372171	13372460	13372275	7	intron (uc007yfy.2, intron 3 of 16)	intron (NM_153588, intron 1 of 14)	-77301	uc012abh.1	Mir193b	Mus musculus microRNA 193b (Mir193b), microRNA.	0.79	3.16	6.33	3.16	3.16	0.79	0.79	1.58	4009-Clock_n3R15	0	mle	1	24.0481927711	2.3366234563	9.1811806934	2.8983333333	0.784332153	0.7364059648	0.643512315	0.0010046952	0.0012632046	0.0099026956
4010	chr18	12961151	12961500	12961300	7	intron (uc008ecu.1, intron 17 of 27)	intron (NM_207530, intron 17 of 27)	61461	uc008eco.1	Cabyr	calcium-binding tyrosine	2.37	0.79	2.37	7.91	2.37	1.58	0	3.16	4010-Clock_n3R15	0	burg	1	22.3016759777	2.2794842053	13.2433603076	2.8983333333	0.4921869597	0.3793396174	0.7985104867	0.0473878845	0.012449604	0.0975967269
4011	chr18	80666591	80666990	80666695	7	promoter-TSS (uc008ftb.1)	promoter-TSS (NM_026295)	-384	uc008ftb.1	Ctdp1	RNA polymerase II subunit A C-terminal domain	7.12	2.37	2.37	2.37	0	3.16	0	1.58	4011-Clock_n3R15	1	mle	1	25.7548387097	2.0250844402	24.411154757	2.8983333333	0.4818079052	0.3666541064	0.7336524991	0.0519049199	0.0133012229	0.1042728605
4012	chr19	46716061	46716420	46716235	7	intron (uc008htw.2, intron 1 of 3)	intron (NM_001177813, intron 1 of 3)	31250	uc008hua.2	Cyp17a1	steroid 17-alpha-hydroxylase/17,20 lyase	3.16	0.79	1.58	7.12	3.16	1.58	0.79	0	4012-Clock_n3R15	0	burg	1	21.8142076503	2.003942431	14.5109277062	2.8983333333	0.4488845474	0.3264144468	0.7165759607	0.0684843987	0.0161805958	0.1268452547
4013	chr19	58000411	58000790	58000515	7	intron (uc008iai.2, intron 26 of 28)	intron (NM_181415, intron 26 of 28)	315076	uc008iai.2	Atrnl1	attractin-like protein 1 precursor	0.79	3.16	2.37	6.33	2.37	2.37	0.79	3.95	4013-Clock_n3R15	0	mle	1	24.0481927711	1.6854481461	11.192330494	2.8983333333	0.5059068368	0.3961083561	0.582935205	0.0418928398	0.0114431505	0.0897067922
4014	chr9	45767751	45767980	45767865	8	Intergenic	Intergenic	-4533	uc009pgt.1	Sidt2	SID1 transmembrane family member 2 precursor	2.37	3.16	6.33	3.95	0.79	0.79	0.79	3.95	4014-Clock_n3R15	0	burg	1	23.3450292398	2.3749537715	8.300906019	2.8983333333	0.8145434707	0.7733309086	0.6624748913	0.0005094359	0.0009164764	0.0071845735
4015	chr1	9897241	9897430	9897335	7	Intergenic	Intergenic	-1384	uc011wie.1	6030422M02Rik	minichromosome maintenance complex	1.58	5.53	4.74	2.37	0.79	2.37	0	0	4015-Clock_n3R15	0	burg	1	22.0552486188	2.0474685676	6.9427772542	2.8966666667	0.7190090875	0.6565666624	0.5821022034	0.0033045721	0.0023237155	0.0182164048
4016	chr1	156922111	156922340	156922225	7	intron (uc007daw.1, intron 3 of 6)	Intergenic	8169	uc007daw.1	AK029591	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930406J12 product:unclassifiable, full insert sequence.	3.95	0.79	3.95	1.58	5.53	1.58	0	1.58	4016-Clock_n3R15	0	yule-walker	1	22.9425287356	0.8915076551	16.2910271031	2.8966666667	0.1326036719	-0.0601510676	0.5821022034	0.5272044981	0.0748741832	0.58696447
4017	chr1	180942531	180942760	180942645	7	intron (uc007dvj.1, intron 10 of 11)	intron (NM_027188, intron 10 of 11)	75404	uc007dvi.1	BC023483	Mus musculus 13 days embryo forelimb cDNA, RIKEN full-length enriched library, clone:5930407C20 product:unclassifiable, full insert sequence.	5.53	3.16	3.95	0.79	2.37	1.58	0	2.37	4017-Clock_n3R15	1	burg	1	25.4267515924	1.3160994425	0.6569962557	2.8966666667	0.4324300734	0.306303423	0.5378254348	0.0781784744	0.0176952411	0.1387190797
4018	chr2	4431481	4431690	4431585	7	intron (uc008ieo.2, intron 5 of 22)	(CA)n|Simple_repeat|Simple_repeat	76748	uc008iew.1	AK027935	Mus musculus 18-day embryo whole body cDNA, RIKEN full-length enriched library, clone:1110023J12 product:unclassifiable, full insert sequence.	3.16	3.16	5.53	2.37	2.37	0.79	0	0.79	4018-Clock_n3R15	1	default	1	24	1.4789954078	7.3627613552	2.8966666667	0.5960420394	0.5062736037	0.489560437	0.0169243801	0.0062829081	0.049253877
4019	chr2	27071141	27071291	27071255	7	intron (uc008ixg.1, intron 15 of 20)	intron (NM_138665, intron 15 of 20)	31116	uc008ixg.1	Sardh	sarcosine dehydrogenase, mitochondrial	5.53	3.16	2.37	2.37	2.37	1.58	0.79	2.37	4019-Clock_n3R15	1	burg	1	27.5310344828	1.0291702124	25.8082987217	2.8966666667	0.4051616138	0.2729753057	0.4359846839	0.0965595961	0.0204964213	0.1606784951
4020	chr3	66380691	66380880	66380775	7	Intergenic	Intergenic	-280044	uc008pkz.2	Veph1	ventricular zone-expressed PH domain-containing	5.53	0	0.79	4.74	4.74	1.58	0.79	4.74	4020-Clock_n3R15	0	burg	1	21.3475935829	2.1026755368	17.2753678435	2.8966666667	0.4290227856	0.3021389602	0.7496555683	0.0803127503	0.0180449788	0.1414607938
4021	chr4	98591151	98591340	98591245	7	intron (uc008tum.1, intron 1 of 8)	intron (NM_146144, intron 1 of 8)	744	uc008tum.1	Usp1	ubiquitin carboxyl-terminal hydrolase 1	3.95	1.58	5.53	3.16	1.58	1.58	0	0.79	4021-Clock_n3R15	0	burg	1	23.6213017751	1.0848780859	8.0499040341	2.8966666667	0.2822016995	0.1226909661	0.5142594772	0.2249111136	0.0379911567	0.2978257419
4022	chr4	119095301	119095480	119095390	7	promoter-TSS (uc008umm.1)	promoter-TSS (NM_026494)	101	uc008umn.2	Zmynd12	zinc finger, MYND domain containing 12	3.16	1.58	1.58	5.53	2.37	3.16	0.79	0.79	4022-Clock_n3R15	0	burg	1	22.5536723164	0.9614768584	15.4194311455	2.8966666667	0.2445341205	0.0766528139	0.4635472285	0.2831175845	0.0454599378	0.3563760851
4023	chr5	52259491	52259681	52259595	7	Intergenic	Intergenic	-248966	uc008xke.1	AK076709	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930418G12 product:unclassifiable, full insert sequence.	1.58	5.53	5.53	1.58	1.58	1.58	0.79	0.79	4023-Clock_n3R15	1	yule-walker	1	22.4269662921	2.1925127276	6.9756617914	2.8966666667	0.6944298902	0.6265254214	0.6428243465	0.0048194659	0.002850569	0.0223465909
4024	chr5	73865991	73866121	73866040	7	Intergenic	Intergenic	-6238	uc008xsy.2	Dcun1d4	DCN1-like protein 4 isoform A	1.58	2.37	3.16	4.74	3.95	1.58	0	2.37	4024-Clock_n3R15	0	mle	1	24.0481927711	1.5382750645	11.7815788331	2.8966666667	0.8664134927	0.8367276022	0.4065578141	0.0001163943	0.0004927308	0.0038626864
4025	chr5	125602551	125602770	125602660	7	intron (uc008zqy.1, intron 3 of 48)	intron (NM_011424, intron 3 of 48)	56924	uc008zqy.1	Ncor2	nuclear receptor corepressor 2	2.37	3.95	5.53	3.16	0.79	1.58	1.58	0	4025-Clock_n3R15	0	burg	1	22.0552486188	1.9467814525	8.0365810152	2.8966666667	0.8186913674	0.7784005602	0.5378254348	0.0004601328	0.0008887314	0.0069670707
4026	chr8	47782101	47782330	47782215	7	Intergenic	L1ME1|LINE|L1	42654	uc009lqn.1	AK144632	Mus musculus lung RCB-0558 LLC cDNA, RIKEN full-length enriched library, clone:G730015A06 product:unclassifiable, full insert sequence.	5.53	0.79	5.53	0.79	1.58	3.16	0	1.58	4026-Clock_n3R15	1	mle	1	25.4267515924	1.0286649924	25.0778318843	2.8966666667	0.1322096679	-0.0606326281	0.6982859771	0.5282829975	0.0749733376	0.587741775
4027	chr9	113831951	113832130	113832040	7	Intergenic	B3|SINE|B2	-8012	uc009rwx.1	Ubp1	upstream-binding protein 1 isoform a	3.16	3.16	3.95	5.53	0	1.58	0	1.58	4027-Clock_n3R15	0	burg	1	23.4823529412	1.5961867334	8.2166810547	2.8966666667	0.4433322804	0.3196283427	0.6030226892	0.0716443869	0.0166282467	0.1303545438
