ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Cry2_CT0/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT4/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT8/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT12/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT16/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT20/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_KO/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry_Input/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
7603	chr15	96287171	96287430	96287275	10	intron (uc007xkf.1, intron 1 of 14)	B3|SINE|B2	3974	uc007xkf.1	Scaf11	splicing factor, arginine/serine-rich 2,	1.76	3.52	1.76	5.28	9.69	1.76	0.88	4.4	7603-Cry2_n3R17	1	yule-walker	1	23.0751445087	2.6433440592	14.9089777433	3.9616666667	0.4252462059	0.2975231406	0.7234706763	0.082731007	0.0211299247	0.1400553384
7604	chr16	4880651	4880930	4880720	10	promoter-TSS (uc007yao.2)	promoter-TSS (NM_145359)	-939	uc007yao.2	Fam100a	hypothetical protein LOC207740	0.88	0.88	3.52	5.28	9.69	3.52	0.88	1.76	7604-Cry2_n3R17	0	burg	1	23.7619047619	3.3634051158	14.6132519926	3.9616666667	0.7016815527	0.6353885644	0.7568031407	0.0043257408	0.0029963505	0.0198606901
7605	chr17	34137171	34137460	34137275	10	promoter-TSS (uc008cap.1)	promoter-TSS (NM_001001892)	-37	uc008cap.1	H2-K1	H-2 class I histocompatibility antigen, K-W28	4.4	4.4	1.76	1.76	9.69	1.76	1.76	0.88	7605-Cry2_n3R17	0	burg	1	21.9340659341	1.7700996281	18.3058285765	3.9616666667	0.1876411395	0.0071169483	0.712013175	0.3925234865	0.0700899126	0.4645764983
7606	chrX	11520561	11520840	11520675	10	Intergenic	Intergenic	136979	uc009sqq.2	Bcor	BCL-6 corepressor isoform a	5.28	0.88	0.88	5.28	9.69	1.76	1.76	1.76	7606-Cry2_n3R17	0	burg	1	21.8142076503	3.4139851062	16.8600659261	3.9616666667	0.5372283523	0.4343902083	0.7990864949	0.0311996948	0.0104406001	0.0692033599
7607	chr2	160072181	160072410	160072295	9	Intergenic	Intergenic	80935	uc008nqv.1	Gm826	hypothetical protein LOC329554	2.64	3.52	8.81	2.64	4.4	1.76	4.4	10.57	7607-Cry2_n3R17	1	burg	1	23.2093023256	2.1485271134	8.9575295556	3.9616666667	0.4437571388	0.3201476141	0.585068613	0.0713986543	0.0189726315	0.1257561664
7608	chr3	40886931	40887210	40887120	9	promoter-TSS (uc008pce.2)	promoter-TSS (NM_027558)	-102	uc008pce.2	Pgrmc2	membrane-associated progesterone receptor	3.52	1.76	0	8.81	2.64	7.04	0.88	0.88	7608-Cry2_n3R17	1	default	1	24	2.0066704379	16.9720771568	3.9616666667	0.230029523	0.0589249725	0.7674706206	0.3084134646	0.0578689556	0.3835724107
7609	chr3	121777461	121777690	121777575	9	intron (uc008rel.1, intron 6 of 49)	intron (NM_007378, intron 6 of 49)	30197	uc008rel.1	Abca4	retinal-specific ATP-binding cassette	7.93	1.76	3.52	2.64	5.28	2.64	2.64	6.16	7609-Cry2_n3R17	0	burg	1	23.4823529412	1.3333468168	20.6663419323	3.9616666667	0.2170034119	0.0430041701	0.5256711434	0.3325978314	0.0614467853	0.4072873154
7610	chr4	152269241	152269411	152269340	9	Intergenic	Intergenic	197677	uc008waq.1	Gm833	SubName: Full=Gm833 protein; SubName: Full=MCG1027416; SubName: Full=Putative uncharacterized protein;	0	3.52	3.52	2.64	7.93	6.16	1.76	6.16	7610-Cry2_n3R17	0	default	1	24	1.7465034965	16	3.9616666667	0.2868428992	0.1283635435	0.6386756735	0.2184406441	0.0441594486	0.2927017776
7611	chr6	90442421	90442650	90442535	9	Intergenic	L1MC4a|LINE|L1	29915	uc009cxj.1	Klf15	Krueppel-like factor 15	1.76	0.88	4.4	4.4	8.81	3.52	0.88	6.16	7611-Cry2_n3R17	1	yule-walker	1	22.8114285714	2.7420643049	15.0072235392	3.9616666667	0.621319554	0.5371683438	0.6388219739	0.0126540038	0.0057458239	0.0380850061
7612	chr6	100306681	100307050	100306795	9	Intergenic	Intergenic	-69513	uc009dbw.1	Rybp	RING1 and YY1-binding protein	4.4	1.76	2.64	8.81	2.64	3.52	3.52	13.21	7612-Cry2_n3R17	0	burg	1	22.1777777778	1.6787731893	14.1068226449	3.9616666667	0.2567350446	0.0915650545	0.585068613	0.263115513	0.0511763201	0.3392116598
7613	chr8	116631291	116631650	116631390	9	Intergenic	Intergenic	-26009	uc009nnw.2	Nudt7	peroxisomal coenzyme A diphosphatase NUDT7	0.88	0.88	10.57	3.52	2.64	5.28	3.52	7.93	7613-Cry2_n3R17	0	burg	1	23.0751445087	2.2930986111	9.9736295639	3.9616666667	0.2528918151	0.086867774	0.8393535352	0.2692934093	0.0520922918	0.3452829889
7614	chr8	120185391	120185730	120185505	9	3' UTR (uc009npd.1, exon 3 of 3)	3' UTR (NM_028725, exon 3 of 3)	9855	uc009npd.1	Sdr42e1	short-chain dehydrogenase/reductase family 42E	4.4	1.76	9.69	1.76	3.52	2.64	3.52	7.04	7614-Cry2_n3R17	0	burg	1	22.8114285714	1.5632303788	8.3068879191	3.9616666667	0.1682392164	-0.0165965133	0.6885264303	0.4365087768	0.0763092144	0.5057998549
7615	chr9	24671031	24671260	24671075	9	Intergenic	Intergenic	-92399	uc009ope.1	Tbx20	T-box transcription factor TBX20 isoform a	1.76	3.52	5.28	1.76	7.93	3.52	0.88	6.16	7615-Cry2_n3R17	1	yule-walker	1	27.7222222222	1.0911551083	12.5819713425	3.9616666667	0.1399810705	-0.0511342471	0.5410889106	0.5073247462	0.0862378294	0.5716096271
7616	chr11	100406801	100406981	100406900	9	promoter-TSS (uc007lln.1)	promoter-TSS (NM_028918)	-55	uc007lln.1	Ttc25	tetratricopeptide repeat protein 25	2.64	2.64	4.4	7.93	4.4	1.76	1.76	0	7616-Cry2_n3R17	1	burg	1	23.2093023256	2.4761503084	12.0079267877	3.9616666667	0.7712044849	0.7203610371	0.5097873017	0.0013107316	0.0017623714	0.0116815148
7617	chr12	77659251	77659470	77659360	9	intron (uc007nyk.2, intron 1 of 18)	intron (NM_153804, intron 1 of 18)	-10558	uc007nyl.1	AK144388	Mus musculus adult male gall bladder cDNA, RIKEN full-length enriched library, clone:G630051H20 product:unclassifiable, full insert sequence.	3.52	1.76	0.88	7.93	7.04	2.64	1.76	4.4	7617-Cry2_n3R17	0	burg	1	21.8142076503	2.9537696228	15.7353774686	3.9616666667	0.59836508	0.5091128755	0.6639282583	0.0164907951	0.0067761508	0.0449143152
7618	chr14	33885611	33885860	33885750	9	intron (uc007szk.2, intron 34 of 58)	B4A|SINE|B4	81167	uc007szl.2	Lrrc18	leucine-rich repeat-containing protein 18	2.64	2.64	4.4	3.52	8.81	1.76	3.52	5.28	7618-Cry2_n3R17	0	mle	1	24.1939393939	1.8648102909	13.7027241808	3.9616666667	0.3311524911	0.1825197113	0.585068613	0.1636711043	0.0354205708	0.2347779319
7619	chr16	90199501	90199750	90199645	9	Intergenic	Intergenic	-21362	uc007zvz.1	Sod1	superoxide dismutase [Cu-Zn]	0.88	1.76	7.04	1.76	8.81	3.52	3.52	5.28	7619-Cry2_n3R17	1	mle	1	25.7548387097	2.0060914989	12.571787799	3.9616666667	0.2452237682	0.0774957167	0.7457325508	0.2819564086	0.0539533728	0.3576187795
7620	chr17	47899001	47899161	47899110	9	Intergenic	intron (NM_001161723, intron 1 of 8)	-23612	uc008cwf.1	Tcfeb	transcription factor EB isoform a	2.64	2.64	7.93	5.28	4.4	0.88	3.52	3.52	7620-Cry2_n3R17	1	mle	1	23.7619047619	2.7823979452	10.0442912256	3.9616666667	0.7695754421	0.7183699848	0.5706762001	0.0013532544	0.0017838174	0.0118236649
7621	chr1	60916731	60917001	60916915	8	Intergenic	Intergenic	-49003	uc007bez.1	Ctla4	cytotoxic T-lymphocyte protein 4 precursor	1.76	2.64	9.69	3.52	5.28	0.88	0	10.57	7621-Cry2_n3R17	0	mle	1	24.0481927711	3.0657144214	9.6551236289	3.9616666667	0.553560177	0.4543513274	0.7347495339	0.0265419712	0.0093087894	0.0617013861
7622	chr1	120285631	120285950	120285845	8	5' UTR (uc007cif.1, exon 1 of 39)	5' UTR (NM_001081276, exon 1 of 39)	155	uc007cif.1	Clasp1	CLIP-associating protein 1 isoform 1	7.93	1.76	5.28	0.88	6.16	1.76	3.52	5.28	7622-Cry2_n3R17	0	default	1	24	1.019111215	21.9498056271	3.9616666667	0.0782664776	-0.126563194	0.6639282583	0.6929856181	0.1112745308	0.7375602272
7623	chr1	164794391	164794830	164794610	8	intron (uc007dgx.1, intron 1 of 8)	intron (NM_010231, intron 1 of 8)	2069	uc007dgx.1	Fmo1	dimethylaniline monooxygenase [N-oxide-forming]	3.52	0.88	10.57	1.76	3.52	3.52	0.88	20.25	7623-Cry2_n3R17	0	burg	1	22.8114285714	1.664912516	9.0687423148	3.9616666667	0.146682844	-0.0429431906	0.7888466686	0.4897756025	0.0837869778	0.5553646637
7624	chr2	48952301	48952570	48952465	8	intron (uc008jpu.2, intron 3 of 16)	intron (NM_029924, intron 3 of 16)	147407	uc008jpu.2	Mbd5	methyl-CpG binding domain protein 5	0.88	2.64	3.52	1.76	7.04	7.93	0.88	7.04	7624-Cry2_n3R17	0	burg	1	24.1939393939	1.9942309646	18.0190774659	3.9616666667	0.3536922276	0.2100682781	0.6639282583	0.1402740074	0.0315477839	0.2091079645
7625	chr3	97415131	97415440	97415235	8	Intergenic	Intergenic	-1172	uc008qow.1	Chd1l	chromodomain-helicase-DNA-binding protein	1.76	0.88	8.81	6.16	3.52	2.64	2.64	11.45	7625-Cry2_n3R17	1	burg	1	22.9425287356	3.0269056078	11.0489820394	3.9616666667	0.6484998032	0.5703886484	0.6883906934	0.0090503438	0.0046338718	0.0307146612
7626	chr4	153966671	153967160	153966880	8	intron (uc008wbu.1, intron 1 of 16)	intron (NM_027504, intron 1 of 16)	43560	uc008wby.1	5930403L14Rik	SubName: Full=Putative uncharacterized protein;	1.76	0.88	0.88	8.81	5.28	6.16	0	3.52	7626-Cry2_n3R17	1	burg	1	22.9425287356	3.0442535705	15.6421646546	3.9616666667	0.5579601277	0.459729045	0.7566796518	0.0253849611	0.0090129279	0.0597403299
7627	chr5	145965041	145965311	145965145	8	promoter-TSS (uc009amn.2)	promoter-TSS (NM_001167944)	-252	uc009amn.2	Zkscan5	zinc finger protein with KRAB and SCAN domains 5	3.52	1.76	2.64	0.88	7.93	7.04	2.64	9.69	7627-Cry2_n3R17	0	burg	1	24.3414634146	2.7653291059	19.1323642502	3.9616666667	0.6125701617	0.5264746421	0.6639282583	0.0140238996	0.0061316589	0.0406424336
7628	chr5	149820841	149821130	149820945	8	intron (uc009apa.1, intron 2 of 3)	MIRm|SINE|MIR	2177	uc009apa.1	AK087624	Mus musculus 2 days pregnant adult female oviduct cDNA, RIKEN full-length enriched library, clone:E230026L19 product:unclassifiable, full insert sequence.	0.88	2.64	7.04	3.52	1.76	7.93	3.52	7.04	7628-Cry2_n3R17	0	default	1	24	0.5174161379	9.1676965341	3.9616666667	0.0208337432	-0.1967587583	0.6639282583	0.9096073784	0.1392837568	0.9232135925
7629	chr6	21899901	21900240	21900005	8	exon (uc009bat.1, exon 2 of 12)	exon (NM_023626, exon 2 of 12)	455	uc009bat.1	Ing3	inhibitor of growth protein 3	4.4	0.88	1.76	7.04	7.93	1.76	1.76	0.88	7629-Cry2_n3R17	0	burg	1	21.8142076503	3.1172791051	15.7820119617	3.9616666667	0.6100710448	0.5234201659	0.6882549298	0.0144355949	0.0062445596	0.0413907728
7630	chr6	87759771	87760060	87759945	8	intron (uc009ctx.1, intron 1 of 2)	promoter-TSS (NM_133717)	1858	uc009ctx.1	Rab43	ras-related protein Rab-43 isoform a	3.52	1.76	8.81	2.64	3.52	3.52	1.76	7.93	7630-Cry2_n3R17	0	burg	1	22.6818181818	1.3610661042	9.270295082	3.9616666667	0.188214052	0.0078171746	0.5708399283	0.3912793087	0.0699035821	0.4633414452
7631	chr6	148090991	148091290	148091105	8	intron (uc009etc.1, intron 2 of 12)	intron (NM_178797, intron 2 of 12)	-69670	uc009eth.1	4732416N19Rik	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700008D02 product:unclassifiable, full insert sequence.	1.76	3.52	3.52	8.81	4.4	1.76	4.4	19.37	7631-Cry2_n3R17	1	mle	1	23.6213017751	2.7467004666	11.7383291561	3.9616666667	0.6827655649	0.6122690238	0.5989593809	0.0057044195	0.0034926946	0.0231506043
7632	chr7	148577931	148578340	148578040	8	promoter-TSS (uc009kkv.2)	promoter-TSS (NM_011528)	76	uc009kkv.2	Taldo1	transaldolase	2.64	0.88	4.4	2.64	5.28	7.93	1.76	3.52	7632-Cry2_n3R17	1	mle	1	27.5310344828	1.9431837025	17.558733809	3.9616666667	0.457548464	0.3370036782	0.5706762001	0.0637711494	0.0174473234	0.1156459768
7633	chr8	129331581	129331950	129331695	8	Intergenic	Intergenic	-41155	uc009nyz.1	AK041328	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630001O12 product:unclassifiable, full insert sequence.	2.64	1.76	7.93	3.52	5.28	2.64	0.88	6.16	7633-Cry2_n3R17	0	mle	1	24.0481927711	1.817309012	10.7229860687	3.9616666667	0.3818362123	0.2444664817	0.5256711434	0.1148063795	0.0270442964	0.1792575284
7634	chr9	34931421	34931551	34931475	8	TTS (uc009osp.1)	TTS (NM_027030)	-7091	uc009osm.1	St3gal4	CMP-N-acetylneuraminate-beta-galactosamide-	2.64	0.88	7.93	1.76	5.28	5.28	2.64	13.21	7634-Cry2_n3R17	0	mle	1	25.9220779221	0.8515832159	13.0071392406	3.9616666667	0.0657364651	-0.1418776538	0.6123826416	0.7363974779	0.1167701413	0.7739867451
7635	chr9	95412191	95412421	95412300	8	5' UTR (uc009rbb.2, exon 1 of 28)	5' UTR (NM_026476, exon 1 of 27)	109	uc009rbb.2	2610101N10Rik	U2-associated protein SR140 1	2.64	0.88	1.76	7.04	3.52	7.93	0.88	3.52	7635-Cry2_n3R17	0	burg	1	27.3424657534	2.097498332	16.4067812188	3.9616666667	0.397803353	0.2639818759	0.6639282583	0.1020522299	0.0248021313	0.1643958006
7636	chr10	23612851	23613090	23612985	8	Intergenic	MLT1C|LTR|MaLR	-1524	uc007eqc.2	Vnn1	pantetheinase precursor	1.76	3.52	7.93	2.64	0.88	7.04	0	10.57	7636-Cry2_n3R17	0	yule-walker	1	21.4623655914	1.7212785962	7.0790106924	3.9616666667	0.2016707674	0.0242642713	0.6639282583	0.3629268882	0.0657909375	0.4360816306
7637	chr10	121823821	121824001	121823915	8	Intergenic	Intergenic	-61644	uc007hge.1	Avpr1a	vasopressin V1a receptor	5.28	1.76	7.93	3.52	4.4	0.88	0.88	10.57	7637-Cry2_n3R17	1	default	1	24	1.5622840594	9.1877108067	3.9616666667	0.2360361308	0.0662663821	0.5849088677	0.29773349	0.0563572591	0.3735524428
7638	chr11	40508361	40508641	40508475	8	Intergenic	5' UTR (NM_001199274, exon 1 of 7)	-2317	uc007ilp.2	Mat2b	methionine adenosyltransferase 2 subunit beta	0.88	6.16	2.64	0.88	5.28	7.93	2.64	7.04	7638-Cry2_n3R17	1	default	1	24	1.5351269978	21.6090049498	3.9616666667	0.1779437578	-0.0047354072	0.6762009984	0.4140539115	0.0731089596	0.4845876271
7639	chr12	7957211	7957460	7957325	8	promoter-TSS (uc007mzc.1)	Intergenic	-468	uc007mzc.1	AK146888	Mus musculus 17 days pregnant adult female amnion cDNA, RIKEN full-length enriched library, clone:I920069F23 product:unclassifiable, full insert sequence.	3.52	0.88	8.81	6.16	3.52	0.88	0.88	10.57	7639-Cry2_n3R17	1	burg	1	23.6213017751	3.0374833396	10.3549387263	3.9616666667	0.5934349326	0.5030871398	0.7118819165	0.0174214891	0.0070260816	0.0465709293
7640	chr12	104664081	104664380	104664275	8	promoter-TSS (uc007ovi.2)	promoter-TSS (NM_001159502)	-240	uc007ovi.2	Ddx24	ATP-dependent RNA helicase DDX24 isoform 1	2.64	1.76	4.4	2.64	8.81	3.52	3.52	6.16	7640-Cry2_n3R17	0	mle	1	24.6419753086	1.8369162812	15.249907036	3.9616666667	0.3446142608	0.1989729855	0.585068613	0.149360735	0.0330312991	0.2189411383
7641	chr13	23712921	23713220	23713105	8	promoter-TSS (uc011yxg.1)	promoter-TSS (NM_001177653)	-77	uc011yxg.1	Hist1h2be	histone H2B type 1-C/E/G	7.04	0.88	2.64	8.81	3.52	0.88	4.4	19.37	7641-Cry2_n3R17	0	yule-walker	1	22.3016759777	1.8895471389	14.3664192953	3.9616666667	0.1955961583	0.0168397491	0.7566796518	0.3755204669	0.0676078466	0.4481246364
7642	chr13	112388291	112388580	112388470	8	Intergenic	Intergenic	-87951	uc007rvy.1	Mier3	mesoderm induction early response protein 3	7.93	0	4.4	3.52	7.04	0.88	1.76	7.04	7642-Cry2_n3R17	1	mle	1	21.9340659341	1.7614241289	16.9460023241	3.9616666667	0.1707732223	-0.0134993949	0.7344951197	0.430556283	0.075476259	0.5002787818
7643	chr15	76383181	76383470	76383295	8	Intergenic	Intergenic	13952	uc007wku.1	Gpr172b	riboflavin transporter 1 precursor	5.28	0	1.76	7.93	5.28	3.52	0	14.09	7643-Cry2_n3R17	0	burg	1	21.9340659341	2.6931241356	16.1173811757	3.9616666667	0.5072238688	0.3977180619	0.6514243425	0.0413926743	0.0127381364	0.0844321044
7644	chr15	83970181	83970400	83970290	8	Intergenic	Intergenic	-16685	uc007xbv.1	Pnpla5	patatin-like phospholipase domain-containing	0.88	1.76	7.04	2.64	3.52	7.93	1.76	10.57	7644-Cry2_n3R17	0	default	1	24	0.5801926457	14.2900154919	3.9616666667	0.0273341131	-0.1888138618	0.6639282583	0.8827476723	0.1359899952	0.9013815743
7645	chr16	9588681	9589030	9588815	8	intron (uc007ydc.1, intron 10 of 11)	Lx8|LINE|L1	403771	uc007ydc.1	Grin2a	glutamate [NMDA] receptor subunit epsilon-1	6.16	3.52	1.76	1.76	8.81	1.76	3.52	10.57	7645-Cry2_n3R17	0	burg	1	21.8142076503	1.969292607	19.0420933982	3.9616666667	0.2658857969	0.1027493073	0.6763391817	0.2488492405	0.0489824041	0.3246697408
7646	chr17	87000581	87000990	87000690	8	intron (uc008dug.2, intron 11 of 14)	intron (NM_011104, intron 11 of 14)	-152419	uc008duj.2	Epas1	endothelial PAS domain-containing protein 1	1.76	4.4	9.69	6.16	0	1.76	1.76	7.04	7646-Cry2_n3R17	0	burg	1	22.8114285714	3.9914183414	8.7312654787	3.9616666667	0.7873575581	0.7401036821	0.8194103627	0.0009428113	0.0015757613	0.0104446084
7647	chr19	6236161	6236440	6236270	8	promoter-TSS (uc008ght.1)	promoter-TSS (NM_198168)	-460	uc008ght.1	Ppp2r5b	serine/threonine-protein phosphatase 2A 56 kDa	2.64	0.88	2.64	6.16	7.93	3.52	2.64	8.81	7647-Cry2_n3R17	0	burg	1	22.3016759777	2.9525010304	15.573281476	3.9616666667	0.7914916452	0.7451564553	0.5988033413	0.000863089	0.0015415128	0.0102175992
7648	chr19	12070631	12071010	12070765	8	Intergenic	Intergenic	30486	uc008gtj.1	Osbp	oxysterol-binding protein 1	1.76	1.76	4.4	3.52	9.69	2.64	2.64	12.33	7648-Cry2_n3R17	1	yule-walker	1	24.0481927711	2.475607793	14.3639272787	3.9616666667	0.4380993013	0.3132324794	0.6885264303	0.0747253701	0.0195836901	0.1298064418
7649	chr1	152979791	152980160	152979970	7	Intergenic	RLTR20A1|LTR|ERVK	-139410	uc007cyj.1	Hmcn1	hemicentin 1	3.52	0.88	9.69	4.4	4.4	0.88	3.52	14.09	7649-Cry2_n3R17	1	burg	1	23.6213017751	2.7795021513	10.159356312	3.9616666667	0.4525163191	0.3308532789	0.7458578522	0.0664768302	0.0179907288	0.1192478271
7650	chr1	173134651	173135010	173134765	7	Intergenic	Intergenic	-8413	uc009uzy.1	Pcp4l1	Purkinje cell protein 4-like protein 1	4.4	0	2.64	5.28	7.93	3.52	0.88	14.09	7650-Cry2_n3R17	0	burg	1	22.0552486188	2.9088419816	16.4863817488	3.9616666667	0.6931029532	0.6249036095	0.6123826416	0.0049143625	0.0032054935	0.021246951
7651	chr2	134379961	134380171	134380125	7	promoter-TSS (uc008mns.1)	promoter-TSS (NM_010403)	22	uc008mns.1	Hao1	hydroxyacid oxidase 1	4.4	0.88	5.28	3.52	7.93	1.76	0	7.04	7651-Cry2_n3R17	0	burg	1	23.4823529412	1.7739287168	14.5076965559	3.9616666667	0.2892578578	0.1313151596	0.5849088677	0.2151316465	0.0436641242	0.2894186222
7652	chr3	107777301	107777600	107777485	7	Intergenic	Intergenic	-5374	uc008qxv.1	Gstm3	glutathione S-transferase Mu 3	8.81	4.4	3.52	2.64	3.52	0.88	0.88	9.69	7652-Cry2_n3R17	0	default	1	24	1.5424391758	1.2433334703	3.9616666667	0.247688726	0.0805084428	0.6125352219	0.2778363505	0.0533389672	0.3535463189
7653	chr4	117688421	117688720	117688535	7	intron (uc008ujk.2, intron 4 of 11)	intron (NM_001161774, intron 4 of 11)	-86202	uc008ujh.1	Artn	artemin precursor	2.64	2.64	2.64	4.4	7.93	3.52	0.88	5.28	7653-Cry2_n3R17	0	burg	1	23.6213017751	1.9473390869	15.6297967996	3.9616666667	0.5674211012	0.4712924571	0.4764336016	0.0230300027	0.0084664236	0.0561179385
7654	chr5	107866671	107867100	107866815	7	Intergenic	CpG	6317	uc008ymf.1	Lpcat2b	lysophosphatidylcholine acyltransferase 2B	2.64	2.64	7.93	4.4	0.88	5.28	0	7.04	7654-Cry2_n3R17	0	yule-walker	1	23.0751445087	1.5850813165	8.164938612	3.9616666667	0.2493084695	0.0824881294	0.5706762001	0.2751546283	0.0529240502	0.3507961276
7655	chr5	147579321	147579670	147579485	7	intron (uc009anj.1, intron 2 of 8)	intron (NM_011669, intron 2 of 8)	27037	uc009anj.1	Usp12	ubiquitin carboxyl-terminal hydrolase 12	2.64	0	9.69	3.52	6.16	1.76	2.64	4.4	7655-Cry2_n3R17	0	mle	1	24.0481927711	2.6581051839	11.094671722	3.9616666667	0.3530781317	0.2093177165	0.7990864949	0.140874778	0.031659557	0.2098488294
7656	chr6	55139471	55139821	55139695	7	Intergenic	MTD-int|LTR|MaLR	-13731	uc009cap.1	Fam188b	hypothetical protein LOC330323 isoform 1	3.52	1.76	9.69	2.64	4.4	1.76	0.88	14.97	7656-Cry2_n3R17	1	burg	1	23.4823529412	2.0740794104	9.3708411797	3.9616666667	0.2969457516	0.1407114742	0.6885264303	0.2048565083	0.0420376376	0.2786377917
7657	chr6	124695681	124696130	124695795	7	intron (uc009drr.1, intron 5 of 9)	CpG-12465	-4808	uc009drn.1	Grcc10	protein C10	0.88	3.52	0.88	6.16	8.81	3.52	2.64	0	7657-Cry2_n3R17	0	burg	1	24.490797546	2.6641014694	14.6991388396	3.9616666667	0.498106531	0.386574649	0.7118819165	0.0449523033	0.0134934142	0.0894383068
7658	chr7	56760521	56760771	56760660	7	intron (uc009hbm.2, intron 11 of 37)	intron (NM_175272, intron 11 of 37)	131559	uc009hbn.1	Dbx1	homeobox protein DBX1	5.28	2.64	4.4	1.76	7.93	1.76	2.64	5.28	7658-Cry2_n3R17	0	yule-walker	1	22.1777777778	1.0584332542	17.4629126973	3.9616666667	0.1078847632	-0.0903630672	0.5560793714	0.598265978	0.0985020338	0.6529003711
7659	chr7	72614521	72614830	72614640	7	Intergenic	Intergenic	-98545	uc009hgp.2	Tjp1	tight junction protein ZO-1 isoform 1	1.76	1.76	7.93	4.4	7.04	0.88	0	5.28	7659-Cry2_n3R17	0	mle	1	24.0481927711	2.9456427327	11.1799814617	3.9616666667	0.5852678437	0.4931051423	0.6882549298	0.0190526195	0.0074285711	0.0492387482
7660	chr9	42076471	42076780	42076635	7	Intergenic	MTE-int|LTR|MaLR	-4242	uc009pas.2	Sc5d	lathosterol oxidase	7.93	0.88	7.04	0.88	3.52	3.52	2.64	5.28	7660-Cry2_n3R17	1	mle	1	26.2631578947	1.2966834855	24.3235449338	3.9616666667	0.1107208542	-0.0868967338	0.6882549298	0.589754802	0.097195129	0.6442378226
7661	chr9	65308951	65309260	65309065	7	intron (uc009qdi.1, intron 1 of 8)	CpG	361	uc009qdi.1	Spg21	maspardin	1.76	4.4	0.88	1.76	7.93	7.04	0.88	0	7661-Cry2_n3R17	0	mle	1	24.95	2.4490596916	18.9602575964	3.9616666667	0.4528566537	0.3312692434	0.6882549298	0.0662910732	0.0179595766	0.1190413411
7662	chr9	99373301	99373820	99373550	7	intron (uc012gza.1, intron 8 of 9)	intron (NM_001165957, intron 8 of 9)	2720	uc009ree.1	1600029I14Rik	SubName: Full=Putative uncharacterized protein;	1.76	0.88	11.45	0.88	2.64	6.16	2.64	10.57	7662-Cry2_n3R17	0	yule-walker	1	22.1777777778	1.6973918946	8.4294821627	3.9616666667	0.1016879481	-0.0979369523	0.9583908446	0.6171951694	0.1010297434	0.6696547716
7663	chr10	40020511	40020890	40020700	7	intron (uc007ews.2, intron 1 of 7)	CpG	1292	uc007ews.2	Amd2	S-adenosylmethionine decarboxylase proenzyme 2	8.81	0	6.16	5.28	2.64	0.88	1.76	0	7663-Cry2_n3R17	0	default	1	24	0.522205172	9.0219984845	3.9616666667	0.015349716	-0.2034614582	0.7781119532	0.9327581388	0.1421863764	0.9424530065
7664	chr10	70805941	70806290	70806055	7	intron (uc007foq.1, intron 1 of 2)	intron (NM_134007, intron 1 of 2)	1482	uc007foq.1	Cisd1	CDGSH iron-sulfur domain-containing protein 1	2.64	2.64	5.28	0.88	8.81	3.52	2.64	14.09	7664-Cry2_n3R17	1	default	1	24	1.2111188811	16	3.9616666667	0.1181902932	-0.0777674195	0.6388219739	0.5677889526	0.0941958733	0.6243578759
7665	chr10	79792301	79792601	79792465	7	promoter-TSS (uc007gcs.2)	promoter-TSS (NM_008793)	-233	uc007gcs.2	Pcsk4	proprotein convertase subtilisin/kexin type 4	2.64	0	5.28	6.16	1.76	7.93	2.64	8.81	7665-Cry2_n3R17	0	default	1	24	1.1858168027	15.1848379342	3.9616666667	0.1031690274	-0.0961267443	0.6882549298	0.6126292003	0.1004008564	0.6654863238
7666	chr11	52166601	52166930	52166740	7	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-7852	uc007ivm.1	Vdac1	voltage-dependent anion-selective channel	2.64	1.76	4.4	3.52	7.93	3.52	0.88	3.52	7666-Cry2_n3R17	0	mle	1	24.6419753086	1.7759377266	14.6588203549	3.9616666667	0.4572359338	0.3366216968	0.4933923741	0.0639366524	0.0174769294	0.1158422142
7667	chr12	29485681	29486260	29485935	7	intron (uc007ngb.2, intron 3 of 8)	intron (NM_201357, intron 3 of 8)	49277	uc007ngb.2	Tssc1	protein TSSC1	0.88	2.64	6.16	9.69	2.64	1.76	1.76	11.45	7667-Cry2_n3R17	1	burg	1	23.0751445087	3.7924279686	11.0976493635	3.9616666667	0.8116488977	0.7697930972	0.7675923736	0.0005462064	0.0014645715	0.0097076098
